Rk,Player,Tm,Pos,Age,G,GS,Cmp,PassingAtt,PassingYds,PassingTD,Int,RushingAtt,RushingYds,Y/A,RushingTD,Tgt,Rec,ReceivingYds,Y/R,ReceivingTD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
1,Derrick Henry,TEN,RB,27,5,5,0,0,0,0,0,142,640,4.51,7,15,14,125,8.93,0,0,0,7,1,,121,134.5,140.5,127.5,71,1,1
2,Cooper Kupp,LAR,WR,28,6,6,0,0,0,0,0,1,-5,-5,0,68,46,653,14.2,7,0,0,7,,,107,152.8,155.8,129.8,59,1,2
3,Austin Ekeler,LAC,RB,26,6,6,0,0,0,0,0,73,356,4.88,4,32,27,242,8.96,3,2,1,7,1,,102,128.8,135.8,115.3,52,2,3
4,Ezekiel Elliott,DAL,RB,26,6,6,0,0,0,0,0,102,521,5.11,5,20,16,105,6.56,1,0,0,6,,,99,114.6,120.6,106.6,49,3,4
5,Jonathan Taylor,IND,RB,22,6,6,0,0,0,0,0,87,472,5.43,4,18,15,210,14,1,0,0,5,,,98,113.2,119.2,105.7,48,4,5
6,Tyreek Hill,KAN,WR,27,6,6,0,0,0,0,0,4,45,11.25,0,63,46,592,12.87,5,1,1,5,,,92,137.7,141.7,114.7,44,2,6
7,Patrick Mahomes,KAN,QB,26,6,6,167,242,1887,18,8,26,184,7.08,1,0,0,0,,0,2,1,1,,,154,153.9,168.9,161.9,40,1,7
8,Mike Williams,LAC,WR,27,6,5,0,0,0,0,0,0,0,,0,56,33,498,15.09,6,0,0,6,1,,88,120.8,123.8,104.3,40,3,8
9,Aaron Jones,GNB,RB,27,6,6,0,0,0,0,0,83,385,4.64,2,23,21,166,7.9,4,2,1,6,,,89,110.1,117.1,99.6,39,5,9
10,Tom Brady,TAM,QB,44,6,6,183,267,2064,17,3,13,37,2.85,1,0,0,0,,0,2,1,1,,,152,152.3,159.3,155.3,39,2,10
11,James Robinson,JAX,RB,23,6,6,0,0,0,0,0,84,460,5.48,5,22,17,116,6.82,0,2,0,5,,,88,104.6,110.6,96.1,38,6,11
12,Najee Harris,PIT,RB,23,6,6,0,0,0,0,0,102,388,3.8,2,46,34,244,7.18,2,0,0,4,,,87,121.2,127.2,104.2,37,7,12
13,Ja'Marr Chase,CIN,WR,21,6,6,0,0,0,0,0,1,-2,-2,0,41,27,553,20.48,5,0,0,5,,,85,112.1,115.1,98.6,37,4,13
14,Travis Kelce,KAN,TE,32,6,6,0,0,0,0,0,0,0,,0,53,38,468,12.32,4,0,0,4,,,71,108.8,111.8,89.8,35,1,14
15,Kareem Hunt,CLE,RB,26,6,1,0,0,0,0,0,69,361,5.23,5,24,20,161,8.05,0,0,0,5,1,,84,104.2,110.2,94.2,34,8,15
16,Kyler Murray,ARI,QB,24,6,6,144,195,1741,14,4,37,116,3.14,3,0,0,0,,0,6,0,3,,,147,147.2,157.2,151.2,34,3,16
17,Jalen Hurts,PHI,QB,23,6,6,130,208,1480,8,4,53,300,5.66,5,1,0,0,,0,4,0,5,,2,147,147.2,157.2,151.2,33,4,17
18,Mark Andrews,BAL,TE,26,6,4,0,0,0,0,0,0,0,,0,44,34,468,13.76,3,0,0,3,2,,69,102.8,105.8,85.8,33,2,18
19,Joe Mixon,CIN,RB,25,6,6,0,0,0,0,0,111,480,4.32,3,16,13,90,6.92,1,1,0,4,,,81,94,97,87.5,31,9,19
20,Marquise Brown,BAL,WR,24,6,6,0,0,0,0,0,1,5,5,0,43,32,486,15.19,5,1,0,5,,,79,111.1,114.1,95.1,31,5,20
21,Deebo Samuel,SFO,WR,25,5,5,0,0,0,0,0,6,22,3.67,1,52,31,548,17.68,3,1,1,4,,,79,110,114,94.5,31,6,21
22,Davante Adams,GNB,WR,29,6,6,0,0,0,0,0,0,0,,0,66,46,668,14.52,2,0,0,2,,,79,124.8,127.8,101.8,31,7,22
