,PLAYER,POS,OVR
0,Todd Gurley,RB,1.5
1,Le'Veon Bell,RB,2.4
2,David Johnson,RB,2.8
3,Ezekiel Elliott,RB,4.4
4,Antonio Brown,WR,5.0
5,Alvin Kamara,RB,6.3
6,Saquon Barkley,RB,7.0
7,Melvin Gordon,RB,8.6
8,DeAndre Hopkins,WR,9.1
9,Leonard Fournette,RB,9.9
10,Kareem Hunt,RB,10.9
11,Odell Beckham Jr.,WR,11.3
12,Christian McCaffrey,RB,12.8
13,Julio Jones,WR,14.2
14,Dalvin Cook,RB,15.3
15,Michael Thomas,WR,16.1
16,Keenan Allen,WR,17.3
17,Davante Adams,WR,18.3
18,Devonta Freeman,RB,19.0
19,Jordan Howard,RB,20.3
20,A.J. Green,WR,20.9
21,Rob Gronkowski,TE,21.4
22,Joe Mixon,RB,23.4
23,Mike Evans,WR,24.6
24,Stefon Diggs,WR,25.7
25,Tyreek Hill,WR,26.1
26,T.Y. Hilton,WR,27.9
27,Jerick McKinnon,RB,28.3
28,Doug Baldwin,WR,29.7
29,LeSean McCoy,RB,30.3
30,Royce Freeman,RB,30.6
31,Travis Kelce,TE,30.9
32,Adam Thielen,WR,33.2
33,Alex Collins,RB,33.7
34,Amari Cooper,WR,34.1
35,Aaron Rodgers,QB,35.4
36,Larry Fitzgerald,WR,35.5
37,Kenyan Drake,RB,37.1
38,Jarvis Landry,WR,38.6
39,JuJu Smith-Schuster,WR,40.2
40,Derrick Henry,RB,40.3
41,Lamar Miller,RB,41.2
42,Zach Ertz,TE,41.2
43,Chris Hogan,WR,42.6
44,Josh Gordon,WR,44.4
45,Demaryius Thomas,WR,46.6
46,Jay Ajayi,RB,46.8
47,Golden Tate,WR,47.5
48,Mark Ingram,RB,48.1
49,Deshaun Watson,QB,49.0
50,Marquise Goodwin,WR,49.7
51,Jimmy Graham,TE,51.5
52,Brandin Cooks,WR,51.9
53,Allen Robinson,WR,53.6
54,Marshawn Lynch,RB,54.1
55,Tom Brady,QB,55.1
56,Carlos Hyde,RB,55.7
57,Dion Lewis,RB,55.7
58,Greg Olsen,TE,58.8
59,Kerryon Johnson,RB,59.6
60,Corey Davis,WR,59.7
61,Marvin Jones,WR,61.7
62,Rex Burkhead,RB,62.1
63,Julian Edelman,WR,63.1
64,Chris Carson,RB,63.6
65,Emmanuel Sanders,WR,63.6
66,Russell Wilson,QB,63.7
67,Trey Burton,TE,65.2
68,Drew Brees,QB,67.9
69,Michael Crabtree,WR,69.0
70,Jamaal Williams,RB,71.2
71,Will Fuller,WR,71.4
72,Chris Thompson,RB,71.4
73,Evan Engram,TE,71.9
74,Tevin Coleman,RB,73.8
75,Cam Newton,QB,74.4
76,Tarik Cohen,RB,74.6
77,Peyton Barber,RB,76.2
78,Alshon Jeffery,WR,76.8
79,Kyle Rudolph,TE,78.4
